SOC,SOC Title,JVS1,ST2,LT3,Wage Score,Total Score Including Wages,Rank,Education,Work Experience,Job Training,Median Annual Wage4
11-1021,General and Operations Managers,6,10,10,8,34,1,Bachelor's degree,5 years or more,None,83395
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",10,10,10,4,34,2,High school diploma or equivalent,None,Moderate-term on-the-job training,58146
29-1141,Registered Nurses,10,10,10,4,34,3,Bachelor's degree,None,None,57198
13-2011,Accountants and Auditors,7,10,10,4,31,4,Bachelor's degree,None,None,58491
41-3099,"Sales Representatives, Services, All Other",9,9,9,3,30,5,High school diploma or equivalent,None,Moderate-term on-the-job training,53884
11-3031,Financial Managers,5,7,7,10,29,6,Bachelor's degree,5 years or more,None,104977
25-2021,"Elementary School Teachers, Except Special Education",8,10,10,1,29,7,Bachelor's degree,None,Internship/residency,47159
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",8,9,9,2,28,8,Bachelor's degree,None,Internship/residency,47904
11-2022,Sales Managers,5,6,6,10,27,9,Bachelor's degree,Less than 5 years,None,109778
15-1132,"Software Developers, Applications",6,7,6,8,27,10,Bachelor's degree,None,None,85543
11-9199,"Managers, All Other",1,8,9,8,26,11,Bachelor's degree,Less than 5 years,None,85487
13-1161,Market Research Analysts and Marketing Specialists,7,7,8,4,26,12,Bachelor's degree,None,None,57253
11-2021,Marketing Managers,6,4,5,10,25,13,Bachelor's degree,5 years or more,None,112928
49-9041,Industrial Machinery Mechanics,7,8,8,2,25,14,High school diploma or equivalent,None,Long-term on-the-job training,51180
17-2011,Aerospace Engineers,4,5,5,10,24,15,Bachelor's degree,None,None,99089
29-1171,Nurse Practitioners,6,5,4,9,24,16,Master's degree,None,None,96800
15-1121,Computer Systems Analysts,3,7,7,7,24,17,Bachelor's degree,None,None,75560
13-1199,"Business Operations Specialists, All Other",6,6,7,5,24,18,Bachelor's degree,None,None,65369
47-2111,Electricians,7,7,7,3,24,19,High school diploma or equivalent,None,Apprenticeship,52408
43-1011,First-Line Supervisors of Office and Administrative Support Workers,3,9,10,2,24,20,High school diploma or equivalent,Less than 5 years,None,47672
29-1069,"Physicians and Surgeons, All Other",0,6,7,10,23,21,Doctoral or professional degree,None,Internship/residency,207134
11-1011,Chief Executives,0,6,7,10,23,22,Bachelor's degree,5 years or more,None,141209
29-1051,Pharmacists,1,6,6,10,23,23,Doctoral or professional degree,None,None,121515
11-3021,Computer and Information Systems Managers,3,5,5,10,23,24,Bachelor's degree,5 years or more,None,109122
15-1133,"Software Developers, Systems Software",2,6,6,9,23,25,Bachelor's degree,None,None,95993
11-9111,Medical and Health Services Managers,4,6,6,7,23,26,Bachelor's degree,Less than 5 years,None,79622
41-3031,"Securities, Commodities, and Financial Services Sales Agents",7,4,6,6,23,27,Bachelor's degree,None,Moderate-term on-the-job training,72236
15-1142,Network and Computer Systems Administrators,5,6,6,6,23,28,Bachelor's degree,None,None,69290
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",0,10,7,6,23,29,High school diploma or equivalent,5 years or more,None,68718
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",7,7,7,2,23,30,Bachelor's degree,None,Internship/residency,48473
15-1151,Computer User Support Specialists,6,8,8,1,23,31,"Some college, no degree",None,None,43931
17-2112,Industrial Engineers,6,4,5,7,22,32,Bachelor's degree,None,None,79236
13-1111,Management Analysts,3,6,7,6,22,33,Bachelor's degree,Less than 5 years,None,70052
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",4,7,7,4,22,34,High school diploma or equivalent,Less than 5 years,None,56801
